                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.813,                 3.0076,                 1.8345,                 0.2233,                0.18644,                0.13195,                0.07211,                 2.1738,                 3.5689,                 2.2717,               0.070017,              0.0033314,              0.0033314
                      2,                 1.8296,                 3.0662,                 1.8557,                0.45512,                0.19318,                0.16418,                0.10059,                 2.1239,                 3.2397,                 2.1578,               0.038698,              0.0053451,              0.0053451
                      3,                 1.8137,                 3.0094,                 1.8323,                0.47178,                0.19068,                0.17168,                 0.1071,                 2.0315,                 3.4399,                 2.0829,              0.0060579,              0.0060388,              0.0060388
                      4,                 1.7614,                 2.9237,                 1.7955,                0.37953,                0.22119,                  0.201,                0.13185,                 1.9661,                 2.9733,                 2.0006,                0.00406,                0.00406,                0.00406
                      5,                 1.7031,                 2.8171,                 1.7467,                0.23501,                0.25251,                0.23165,                0.15206,                  1.897,                 2.8043,                 1.9426,                0.00208,                0.00208,                0.00208
