                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7419,                 2.8169,                 1.8138,                0.16115,                0.27325,                 0.2334,                0.14775,                   1.92,                 2.9185,                 2.0131,               0.070017,              0.0033314,              0.0033314
                      2,                  1.769,                 2.8456,                 1.8267,                0.54391,                0.26615,                0.22101,                 0.1497,                 1.9515,                 3.0654,                 2.0342,               0.039687,              0.0063349,              0.0063349
                      3,                 1.7774,                 2.8754,                 1.8303,                0.58762,                0.18652,                0.19919,                0.12758,                 1.9956,                 3.0531,                 2.0262,              0.0090273,              0.0090083,              0.0090083
                      4,                 1.7668,                 2.8679,                 1.8264,                0.41331,                0.25893,                0.21106,                0.13934,                 1.9624,                 2.9239,                 2.0452,               0.008515,               0.008515,               0.008515
                      5,                 1.7574,                 2.8492,                  1.819,                0.42655,                0.24108,                0.20749,                0.14044,                  1.947,                  2.927,                 2.0347,                0.00802,                0.00802,                0.00802
                      6,                 1.7434,                  2.796,                 1.8011,                0.60769,                 0.2044,                 0.2151,                0.13862,                 1.9865,                 3.1717,                  2.027,               0.007525,               0.007525,               0.007525
                      7,                 1.7218,                 2.7456,                 1.7867,                0.35501,                0.25917,                0.24003,                0.15744,                  1.909,                 2.8195,                 1.9569,                0.00703,                0.00703,                0.00703
                      8,                 1.7024,                  2.721,                  1.765,                0.67696,                0.21917,                0.23523,                0.15941,                 1.9132,                 2.7995,                 1.9974,               0.006535,               0.006535,               0.006535
                      9,                 1.6971,                 2.6932,                 1.7632,                 0.3422,                0.24765,                0.24615,                 0.1686,                 1.8876,                 2.7522,                 1.9561,                0.00604,                0.00604,                0.00604
                     10,                 1.6874,                  2.691,                 1.7564,                0.27263,                0.29593,                 0.2569,                 0.1723,                 1.8544,                 2.7207,                 1.9131,               0.005545,               0.005545,               0.005545
                     11,                 1.8163,                 2.7738,                 1.9115,                0.39866,                0.28028,                0.26342,                0.17405,                 1.8725,                 2.6793,                 1.9088,                0.00505,                0.00505,                0.00505
                     12,                 1.7841,                 2.7153,                  1.895,                 0.3608,                0.27748,                0.25602,                0.17447,                 1.8547,                 2.6722,                 1.9248,               0.004555,               0.004555,               0.004555
                     13,                 1.7673,                 2.6626,                 1.8646,                0.31077,                0.29572,                 0.2714,                 0.1778,                 1.8716,                 2.6265,                 1.9209,                0.00406,                0.00406,                0.00406
                     14,                 1.7554,                 2.6315,                 1.8753,                 0.2933,                 0.3106,                 0.2757,                0.18724,                 1.8266,                    2.6,                 1.8941,               0.003565,               0.003565,               0.003565
                     15,                 1.7323,                  2.587,                  1.845,                0.28345,                0.31577,                0.27702,                0.19233,                 1.8157,                 2.5799,                 1.8856,                0.00307,                0.00307,                0.00307
                     16,                 1.7072,                 2.5612,                 1.8299,                0.30424,                0.32708,                0.28107,                0.19353,                 1.7854,                 2.5232,                 1.8372,               0.002575,               0.002575,               0.002575
                     17,                 1.6781,                 2.5037,                 1.8102,                0.31632,                0.32526,                0.28892,                0.20427,                 1.7736,                 2.5186,                 1.8562,                0.00208,                0.00208,                0.00208
                     18,                 1.6608,                 2.4593,                 1.7904,                0.35087,                 0.3252,                0.29497,                0.20763,                 1.7705,                 2.4748,                 1.8196,               0.001585,               0.001585,               0.001585
                     19,                 1.6554,                 2.4294,                 1.7867,                0.31788,                0.32841,                 0.3022,                0.21221,                  1.753,                 2.4653,                  1.827,                0.00109,                0.00109,                0.00109
                     20,                 1.6289,                 2.3958,                 1.7677,                0.34768,                0.33611,                0.31164,                0.22176,                 1.7349,                 2.4227,                 1.8113,               0.000595,               0.000595,               0.000595
