                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6764,                 2.6511,                  1.748,                0.81466,                0.18056,                0.22791,                 0.1564,                 1.9031,                 2.9731,                 2.0559,               0.070017,              0.0033314,              0.0033314
                      2,                 1.7077,                  2.707,                 1.7674,                0.53168,                0.24413,                0.22247,                0.14992,                 1.9287,                  2.887,                 2.0014,               0.039687,              0.0063349,              0.0063349
                      3,                 1.7256,                 2.7353,                 1.7853,                0.63289,                0.23159,                0.23538,                0.15622,                 1.9199,                   2.97,                 2.0172,              0.0090273,              0.0090083,              0.0090083
                      4,                 1.7255,                 2.7378,                 1.7747,                0.23371,                0.29831,                0.19462,                0.12992,                 1.9295,                 3.1226,                 2.0241,               0.008515,               0.008515,               0.008515
                      5,                  1.713,                 2.7184,                 1.7709,                0.40997,                0.27372,                0.23815,                0.16169,                 1.9183,                 2.7744,                  1.986,                0.00802,                0.00802,                0.00802
                      6,                 1.7037,                 2.6973,                 1.7666,                0.56241,                0.22208,                0.23237,                0.15591,                 1.9109,                 2.8614,                  1.957,               0.007525,               0.007525,               0.007525
                      7,                 1.6746,                 2.6397,                 1.7445,                0.29702,                0.27798,                0.24689,                0.16832,                 1.8891,                 2.7363,                 1.9469,                0.00703,                0.00703,                0.00703
                      8,                  1.669,                 2.6325,                  1.743,                 0.5955,                0.24354,                0.25032,                0.17052,                 1.8843,                 2.7441,                 1.9793,               0.006535,               0.006535,               0.006535
                      9,                 1.6651,                 2.6162,                 1.7314,                0.74499,                0.21602,                0.25156,                0.17221,                 1.8874,                 2.7633,                 1.9638,                0.00604,                0.00604,                0.00604
                     10,                 1.6639,                 2.6183,                 1.7341,                 0.2681,                0.29858,                0.26924,                 0.1855,                 1.8652,                 2.6522,                 1.8992,               0.005545,               0.005545,               0.005545
                     11,                 1.7812,                 2.6826,                 1.8798,                0.29782,                0.30999,                0.26643,                0.18317,                 1.8433,                 2.6229,                 1.8991,                0.00505,                0.00505,                0.00505
                     12,                 1.7623,                 2.6348,                  1.862,                0.41354,                0.29031,                0.26481,                0.18345,                 1.8226,                 2.6367,                 1.9105,               0.004555,               0.004555,               0.004555
                     13,                 1.7342,                 2.5801,                 1.8348,                0.28931,                0.31877,                0.27863,                0.18658,                 1.8296,                 2.5371,                 1.8833,                0.00406,                0.00406,                0.00406
                     14,                 1.7126,                 2.5483,                 1.8346,                0.35617,                0.29287,                0.29301,                0.20352,                 1.8108,                 2.5152,                 1.8624,               0.003565,               0.003565,               0.003565
                     15,                 1.6993,                  2.486,                 1.8137,                0.31006,                0.34137,                0.29881,                0.20565,                 1.7869,                 2.4687,                  1.837,                0.00307,                0.00307,                0.00307
                     16,                 1.6725,                 2.4638,                 1.7951,                0.30717,                0.35451,                0.30195,                0.20963,                 1.7647,                 2.4797,                 1.8282,               0.002575,               0.002575,               0.002575
                     17,                 1.6495,                 2.4147,                 1.7889,                0.31604,                0.34295,                0.30145,                0.21518,                 1.7549,                 2.4419,                  1.826,                0.00208,                0.00208,                0.00208
                     18,                 1.6339,                 2.3749,                 1.7668,                0.31758,                0.35411,                 0.3045,                  0.217,                 1.7476,                 2.4196,                 1.8012,               0.001585,               0.001585,               0.001585
                     19,                 1.6329,                 2.3369,                 1.7589,                0.31698,                0.34459,                 0.3115,                0.22073,                 1.7426,                 2.4012,                 1.8084,                0.00109,                0.00109,                0.00109
                     20,                  1.604,                 2.3118,                 1.7417,                0.34317,                0.36683,                0.32206,                0.22747,                 1.7154,                 2.3726,                 1.7891,               0.000595,               0.000595,               0.000595
