                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6228,                 2.4554,                  1.683,                0.22873,                 0.2894,                0.24811,                0.16702,                 1.9056,                 3.0318,                 2.0151,               0.070017,              0.0033314,              0.0033314
                      2,                 1.6438,                 2.4993,                 1.6973,                0.41711,                0.27975,                0.26167,                0.17389,                 1.8984,                 2.7535,                 1.9679,               0.039687,              0.0063349,              0.0063349
                      3,                 1.6602,                 2.5331,                 1.7073,                0.33368,                0.23064,                0.24959,                0.16173,                 1.9468,                 3.0085,                 1.9955,              0.0090273,              0.0090083,              0.0090083
                      4,                 1.6606,                 2.5526,                 1.7175,                0.41822,                 0.2956,                0.25041,                0.16944,                 1.8949,                 2.8238,                 1.9689,               0.008515,               0.008515,               0.008515
                      5,                 1.6548,                 2.5328,                  1.709,                0.29565,                0.28467,                0.26955,                0.18073,                 1.8796,                 2.6129,                 1.9088,                0.00802,                0.00802,                0.00802
                      6,                 1.6538,                 2.5142,                 1.7041,                0.31951,                0.27279,                  0.286,                0.19184,                 1.8881,                 2.6192,                 1.8849,               0.007525,               0.007525,               0.007525
                      7,                 1.6306,                 2.4703,                 1.6905,                0.32949,                0.34789,                 0.2931,                0.19906,                 1.8407,                  2.536,                 1.8699,                0.00703,                0.00703,                0.00703
                      8,                  1.618,                 2.4553,                 1.6867,                 0.3387,                0.31763,                 0.2786,                0.18835,                 1.8593,                 2.5557,                 1.8949,               0.006535,               0.006535,               0.006535
                      9,                 1.6144,                 2.4407,                 1.6727,                0.33376,                0.32451,                 0.2942,                0.20137,                 1.8487,                 2.6282,                 1.8885,                0.00604,                0.00604,                0.00604
                     10,                  1.611,                 2.4433,                  1.677,                0.38157,                0.32096,                0.29497,                0.20368,                 1.8356,                 2.5333,                 1.8683,               0.005545,               0.005545,               0.005545
                     11,                 1.7194,                 2.5007,                 1.8082,                0.32682,                0.32857,                0.30902,                0.21437,                 1.7977,                 2.4588,                 1.8413,                0.00505,                0.00505,                0.00505
                     12,                 1.6957,                 2.4294,                 1.7914,                0.33347,                0.33219,                0.30375,                0.21364,                 1.7803,                  2.443,                 1.8374,               0.004555,               0.004555,               0.004555
                     13,                 1.6776,                 2.3858,                 1.7706,                0.33442,                 0.3325,                0.31979,                0.21896,                 1.7794,                 2.4083,                 1.8258,                0.00406,                0.00406,                0.00406
                     14,                 1.6658,                 2.3674,                 1.7771,                0.37281,                0.34425,                0.32581,                0.22399,                 1.7802,                 2.4023,                 1.8252,               0.003565,               0.003565,               0.003565
                     15,                 1.6503,                 2.3194,                 1.7552,                0.32494,                0.36421,                0.32711,                0.22701,                 1.7542,                 2.3643,                 1.8099,                0.00307,                0.00307,                0.00307
                     16,                 1.6225,                 2.2919,                 1.7311,                0.35684,                0.37172,                0.33083,                0.23261,                 1.7559,                   2.33,                 1.7933,               0.002575,               0.002575,               0.002575
                     17,                 1.5994,                 2.2614,                 1.7281,                 0.3744,                0.36901,                0.32964,                0.23528,                 1.7364,                  2.344,                  1.809,                0.00208,                0.00208,                0.00208
                     18,                 1.5801,                 2.2106,                 1.7105,                0.38012,                0.37868,                0.33888,                0.23999,                 1.7287,                 2.3054,                  1.787,               0.001585,               0.001585,               0.001585
                     19,                  1.573,                 2.1876,                 1.7055,                0.36483,                0.38468,                0.34948,                0.24842,                 1.7152,                 2.2585,                 1.7801,                0.00109,                0.00109,                0.00109
                     20,                 1.5575,                 2.1545,                 1.6951,                0.39085,                0.39101,                0.35604,                0.25515,                 1.6995,                 2.2502,                 1.7685,               0.000595,               0.000595,               0.000595
