                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6287,                 2.4869,                  1.692,                0.32248,                0.30922,                  0.279,                0.19211,                 1.8659,                 2.6655,                 1.9025,               0.070017,              0.0033314,              0.0033314
                      2,                 1.6505,                 2.5311,                 1.7036,                0.31299,                0.27443,                0.24854,                0.17258,                 1.9205,                 2.8414,                 1.9792,               0.039687,              0.0063349,              0.0063349
                      3,                  1.675,                 2.5575,                 1.7245,                0.40458,                0.22713,                0.24428,                 0.1633,                 1.9773,                 2.8266,                 2.0179,              0.0090273,              0.0090083,              0.0090083
                      4,                 1.6692,                 2.5771,                 1.7231,                0.30397,                0.24946,                0.23975,                0.16098,                 1.9941,                 2.8816,                 2.0236,               0.008515,               0.008515,               0.008515
                      5,                 1.6581,                 2.5635,                  1.713,                0.45659,                0.31666,                0.27586,                0.19022,                 1.8551,                 2.6811,                 1.8983,                0.00802,                0.00802,                0.00802
                      6,                 1.6549,                 2.5312,                 1.7059,                0.57416,                0.23758,                0.26166,                0.18072,                 1.8819,                 2.6762,                  1.892,               0.007525,               0.007525,               0.007525
                      7,                 1.6259,                 2.4895,                 1.6869,                0.29423,                0.30468,                 0.2659,                0.18295,                  1.853,                 2.7586,                 1.9044,                0.00703,                0.00703,                0.00703
                      8,                 1.6237,                 2.4787,                 1.6865,                0.33468,                0.31862,                0.28373,                0.19706,                 1.8234,                 2.5475,                 1.8814,               0.006535,               0.006535,               0.006535
                      9,                 1.6223,                 2.4629,                 1.6778,                0.26066,                0.31321,                0.28499,                 0.1997,                  1.858,                 2.6157,                 1.9162,                0.00604,                0.00604,                0.00604
                     10,                   1.62,                 2.4806,                 1.6815,                0.30281,                0.32462,                0.28813,                0.20049,                 1.8291,                 2.5307,                 1.8521,               0.005545,               0.005545,               0.005545
                     11,                 1.7299,                 2.5166,                 1.8126,                0.29234,                0.32357,                0.29414,                0.20394,                 1.8252,                 2.5392,                 1.8669,                0.00505,                0.00505,                0.00505
                     12,                 1.7085,                 2.4686,                 1.8076,                0.30003,                 0.3273,                 0.2947,                0.20233,                 1.7982,                 2.4468,                 1.8526,               0.004555,               0.004555,               0.004555
                     13,                 1.6953,                 2.4225,                 1.7886,                0.33702,                0.34039,                0.30993,                0.21215,                 1.8149,                 2.4603,                 1.8531,                0.00406,                0.00406,                0.00406
                     14,                 1.6776,                 2.4072,                 1.7905,                 0.3815,                0.33867,                0.31962,                0.22012,                 1.7889,                 2.4118,                 1.8213,               0.003565,               0.003565,               0.003565
                     15,                 1.6572,                 2.3426,                 1.7576,                0.33151,                0.35004,                0.32079,                0.22576,                  1.769,                 2.3744,                 1.8122,                0.00307,                0.00307,                0.00307
                     16,                 1.6386,                 2.3196,                 1.7456,                0.35538,                0.37083,                0.33086,                0.23236,                 1.7575,                 2.3396,                 1.7986,               0.002575,               0.002575,               0.002575
                     17,                 1.6065,                 2.2726,                 1.7359,                0.37538,                0.36078,                0.33259,                0.23756,                 1.7353,                 2.3305,                 1.7933,                0.00208,                0.00208,                0.00208
                     18,                  1.589,                 2.2268,                 1.7132,                0.36674,                 0.3808,                0.33566,                0.23973,                 1.7257,                 2.3182,                 1.7785,               0.001585,               0.001585,               0.001585
                     19,                 1.5846,                 2.2106,                 1.7123,                0.35098,                0.37995,                 0.3424,                 0.2437,                 1.7085,                 2.2864,                 1.7712,                0.00109,                0.00109,                0.00109
                     20,                 1.5626,                  2.176,                  1.694,                0.37509,                0.38388,                 0.3517,                0.25177,                 1.7002,                 2.2687,                 1.7629,               0.000595,               0.000595,               0.000595
