                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6541,                 2.5739,                 1.7188,                0.41596,                0.24397,                0.25422,                0.17268,                 1.8927,                 2.7576,                 1.9701,               0.070017,              0.0033314,              0.0033314
                      2,                 1.6784,                 2.6202,                 1.7391,                0.45921,                0.25887,                0.24365,                0.16625,                 1.9025,                 2.7411,                 1.9351,               0.039687,              0.0063349,              0.0063349
                      3,                 1.7043,                 2.6634,                 1.7533,                0.59645,                0.21607,                0.23794,                0.16161,                 1.9143,                 3.1649,                 1.9715,              0.0090273,              0.0090083,              0.0090083
                      4,                 1.6952,                 2.6618,                 1.7512,                0.32401,                0.31763,                0.24027,                0.16792,                 1.8836,                 2.8855,                 1.9467,               0.008515,               0.008515,               0.008515
                      5,                 1.6865,                 2.6542,                 1.7472,                0.30717,                0.26571,                0.24513,                0.16593,                 1.9294,                 2.8977,                 1.9904,                0.00802,                0.00802,                0.00802
                      6,                 1.6845,                 2.6227,                 1.7399,                0.43937,                0.22813,                 0.2488,                0.16692,                 1.9204,                  2.766,                 1.9708,               0.007525,               0.007525,               0.007525
                      7,                 1.6497,                 2.5751,                 1.7123,                0.33169,                0.30129,                0.26211,                0.17681,                 1.8711,                 2.6313,                 1.9156,                0.00703,                0.00703,                0.00703
                      8,                 1.6478,                 2.5546,                 1.7123,                0.47238,                0.27742,                0.25314,                0.17572,                 1.8505,                 2.6334,                 1.8965,               0.006535,               0.006535,               0.006535
                      9,                 1.6416,                 2.5362,                 1.7068,                0.23894,                0.31355,                0.27181,                0.18966,                 1.8486,                  2.685,                 1.9282,                0.00604,                0.00604,                0.00604
                     10,                 1.6403,                 2.5458,                 1.7116,                0.57937,                0.25679,                0.28026,                0.19406,                 1.8205,                  2.555,                 1.8743,               0.005545,               0.005545,               0.005545
                     11,                 1.7609,                 2.6088,                 1.8522,                0.34844,                0.32609,                0.28776,                0.19764,                  1.812,                 2.5193,                 1.8628,                0.00505,                0.00505,                0.00505
                     12,                  1.731,                 2.5499,                 1.8356,                0.35488,                0.30343,                0.29315,                0.20368,                 1.7997,                 2.5238,                 1.8529,               0.004555,               0.004555,               0.004555
                     13,                 1.7142,                 2.5031,                 1.8169,                0.29779,                0.33801,                0.29688,                0.20186,                 1.8325,                 2.5291,                 1.8891,                0.00406,                0.00406,                0.00406
                     14,                 1.6981,                  2.469,                 1.8109,                0.32472,                  0.335,                 0.3067,                0.20879,                 1.7961,                 2.4624,                 1.8468,               0.003565,               0.003565,               0.003565
                     15,                 1.6809,                 2.4325,                 1.7945,                0.30599,                0.35257,                0.30706,                0.21438,                 1.7616,                 2.4277,                 1.8152,                0.00307,                0.00307,                0.00307
                     16,                 1.6586,                 2.3975,                 1.7805,                0.32552,                0.34897,                0.31673,                0.21809,                 1.7689,                 2.3978,                 1.8119,               0.002575,               0.002575,               0.002575
                     17,                 1.6337,                 2.3561,                 1.7659,                0.38089,                0.33297,                0.32058,                0.22888,                 1.7409,                 2.3827,                 1.8048,                0.00208,                0.00208,                0.00208
                     18,                 1.6149,                  2.308,                  1.745,                 0.3523,                0.36809,                  0.322,                0.22865,                 1.7436,                  2.378,                 1.8025,               0.001585,               0.001585,               0.001585
                     19,                  1.613,                 2.2864,                  1.743,                0.34361,                0.35801,                0.32417,                0.23207,                 1.7198,                 2.3392,                 1.7853,                0.00109,                0.00109,                0.00109
                     20,                 1.5883,                 2.2508,                 1.7254,                0.34709,                 0.3752,                0.33399,                0.24011,                 1.7181,                  2.319,                 1.7777,               0.000595,               0.000595,               0.000595
