                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.957,                 3.0768,                 2.0491,                0.57128,                0.18643,                 0.1668,                0.10322,                 2.0718,                  3.278,                 2.2241,               0.070017,              0.0033314,              0.0033314
                      2,                 2.0044,                 3.1556,                 2.0985,                0.34681,                0.18251,                0.14416,                0.08929,                 2.0673,                 3.7897,                 2.1467,               0.039357,               0.006005,               0.006005
                      3,                 2.0076,                 3.1572,                 2.0984,                0.32247,                0.19853,                0.18818,                0.11646,                 2.0379,                 3.1157,                 2.1114,              0.0080375,              0.0080185,              0.0080185
                      4,                 1.9817,                 3.1337,                 2.0942,                0.34893,                0.21825,                0.20399,                0.13332,                 1.9811,                 3.0351,                 2.0891,                0.00703,                0.00703,                0.00703
                      5,                  1.936,                 3.0339,                 2.0516,                0.50718,                0.19156,                0.19092,                0.11833,                 2.0015,                 3.0313,                  2.051,                0.00604,                0.00604,                0.00604
                      6,                 1.8883,                 2.9792,                 2.0016,                0.52428,                0.18997,                0.20026,                0.13355,                 1.9358,                 2.9786,                 2.0153,                0.00505,                0.00505,                0.00505
                      7,                 1.8461,                 2.8941,                 1.9628,                0.22807,                0.26661,                0.23063,                 0.1536,                 1.9041,                 2.8589,                 1.9861,                0.00406,                0.00406,                0.00406
                      8,                 1.8081,                 2.8165,                 1.9382,                0.26485,                0.26606,                 0.2387,                0.15586,                 1.8659,                 2.7667,                  1.933,                0.00307,                0.00307,                0.00307
                      9,                  1.775,                  2.752,                 1.9023,                 0.2743,                0.28064,                 0.2509,                0.16877,                 1.8469,                  2.739,                 1.9268,                0.00208,                0.00208,                0.00208
                     10,                  1.739,                 2.6657,                 1.8726,                0.28137,                0.29104,                0.26835,                0.18235,                 1.8104,                 2.6577,                 1.8988,                0.00109,                0.00109,                0.00109
